original_id,category,subset,x_position,y_position
144,OCR QA,DoclingMatix,-3.3209038,17.676641
145,OCR QA,DoclingMatix,-3.5430915,18.633417
146,OCR QA,DoclingMatix,-1.4177037,17.525536
147,OCR QA,DoclingMatix,-1.7031838,18.482338
148,OCR QA,DoclingMatix,-2.6439989,18.788374
149,OCR QA,DoclingMatix,-2.597876,19.185583
150,OCR QA,DoclingMatix,-0.5687146,17.854235
151,OCR QA,DoclingMatix,-1.5822437,17.89997
152,OCR QA,DoclingMatix,-2.5681157,15.862703
153,OCR QA,DoclingMatix,-3.1931202,18.610592
154,OCR QA,DoclingMatix,-2.2833252,16.032545
155,OCR QA,DoclingMatix,-2.7539678,18.959908
156,OCR QA,DoclingMatix,-3.293064,18.738478
157,OCR QA,DoclingMatix,-4.458434,13.078367
158,OCR QA,DoclingMatix,-2.1089303,16.492489
159,OCR QA,DoclingMatix,-2.9728808,18.275713
160,OCR QA,DoclingMatix,-1.9504831,17.425997
161,OCR QA,DoclingMatix,-2.1972477,18.952415
162,OCR QA,DoclingMatix,-1.9784061,18.167784
163,OCR QA,DoclingMatix,-2.1374834,18.780544
164,General VQA,LLaVA_Instruct_150K,-0.04121901,13.326656
165,General VQA,LLaVA_Instruct_150K,-3.003669,13.9813
166,General VQA,LLaVA_Instruct_150K,-0.87659425,15.0002365
167,General VQA,LLaVA_Instruct_150K,-2.4315653,13.461026
168,General VQA,LLaVA_Instruct_150K,-3.657344,13.454892
169,General VQA,LLaVA_Instruct_150K,-3.3701751,13.903656
170,General VQA,LLaVA_Instruct_150K,-1.4356084,12.906051
171,General VQA,LLaVA_Instruct_150K,-2.0306752,13.837592
172,General VQA,LLaVA_Instruct_150K,-1.93058,13.64789
173,General VQA,LLaVA_Instruct_150K,-2.960764,12.389478
174,General VQA,LLaVA_Instruct_150K,-1.5670083,12.371494
175,General VQA,LLaVA_Instruct_150K,-1.3098346,15.785713
176,General VQA,LLaVA_Instruct_150K,-4.1270065,15.013622
177,General VQA,LLaVA_Instruct_150K,-2.6499448,13.135092
178,General VQA,LLaVA_Instruct_150K,-1.9295284,16.038881
179,Chart & Table,SynthChartNet,-5.1461444,17.769293
180,Chart & Table,SynthChartNet,-6.727832,15.511663
181,Chart & Table,SynthChartNet,-6.411554,16.44527
182,Chart & Table,SynthChartNet,-7.151805,14.436375
183,Chart & Table,SynthChartNet,-6.6720834,16.477493
184,Chart & Table,SynthChartNet,-6.1793976,15.210242
185,Chart & Table,SynthChartNet,-5.141068,17.590567
186,Chart & Table,SynthChartNet,-7.0122495,15.615927
187,Chart & Table,SynthChartNet,-6.944416,15.583528
188,Chart & Table,SynthChartNet,-5.294619,18.07463
189,Chart & Table,SynthChartNet,-5.207549,17.901262
190,Chart & Table,SynthChartNet,-5.176415,18.117426
191,Chart & Table,SynthChartNet,-5.208407,18.033777
192,Chart & Table,SynthChartNet,-5.368511,17.664892
193,Chart & Table,SynthChartNet,-5.2063956,17.942322
194,Chart & Table,SynthChartNet,-6.985873,16.031464
195,Chart & Table,SynthChartNet,-6.5159984,15.32247
196,Chart & Table,SynthChartNet,-6.9621744,16.361357
197,Chart & Table,SynthChartNet,-5.2207456,17.69036
198,Chart & Table,SynthChartNet,-6.8150105,16.328646
199,Chart & Table,SynthChartNet,-5.163355,18.21635
200,Chart & Table,SynthChartNet,-6.920904,16.498514
201,Chart & Table,SynthChartNet,-6.4768267,16.19447
202,Chart & Table,SynthChartNet,-6.704763,16.307007
203,Chart & Table,SynthChartNet,-6.8234115,16.408567
204,Chart & Table,SynthChartNet,-5.481283,17.856428
205,Chart & Table,SynthChartNet,-6.543561,16.619896
206,Chart & Table,SynthChartNet,-4.852024,18.189837
207,Chart & Table,SynthChartNet,-5.215617,17.742992
208,Chart & Table,SynthChartNet,-6.4959555,16.68928
209,Chart & Table,SynthChartNet,-5.388788,17.987978
210,Chart & Table,SynthChartNet,-6.4665,15.409831
211,Chart & Table,SynthChartNet,-6.5481486,16.35738
212,Chart & Table,SynthChartNet,-5.4961696,17.997698
213,Chart & Table,SynthChartNet,-5.5057435,17.749802
214,Chart & Table,SynthChartNet,-5.2866464,17.925413
215,Chart & Table,SynthChartNet,-6.575139,15.787562
216,Chart & Table,SynthChartNet,-5.6337447,17.884447
217,Chart & Table,SynthChartNet,-5.428942,18.140358
218,Chart & Table,SynthChartNet,-5.6336236,17.739908
219,Chart & Table,SynthChartNet,-6.3776565,16.402546
220,Chart & Table,SynthChartNet,-5.564274,17.744778
221,Chart & Table,SynthChartNet,-6.9941792,16.175684
222,Chart & Table,SynthChartNet,-6.6928587,16.116158
223,Chart & Table,SynthChartNet,-6.7574,15.715918
224,Chart & Table,SynthChartNet,-6.9718375,16.300568
225,Chart & Table,SynthChartNet,-6.9625235,16.005453
226,Chart & Table,SynthChartNet,-7.0678654,15.965807
227,Chart & Table,SynthChartNet,-5.0787272,18.141487
228,Chart & Table,SynthChartNet,-5.0736647,18.061468
229,Naive OCR,SynthCodeNet,0.04656302,17.572514
230,Naive OCR,SynthCodeNet,-1.1099467,17.690296
231,Naive OCR,SynthCodeNet,-0.04873978,17.705694
232,Naive OCR,SynthCodeNet,-0.33281502,16.677038
233,Naive OCR,SynthCodeNet,1.0885636,15.638341
234,Naive OCR,SynthCodeNet,-4.2552023,15.99757
235,Naive OCR,SynthCodeNet,-3.852895,15.5951185
236,Naive OCR,SynthCodeNet,-0.3341921,17.734613
237,Naive OCR,SynthCodeNet,0.42134494,16.38415
238,Naive OCR,SynthCodeNet,-0.42474476,17.735378
239,Naive OCR,SynthCodeNet,-0.26788715,17.153187
240,Naive OCR,SynthCodeNet,-0.19620547,18.005255
241,Naive OCR,SynthCodeNet,-0.058252852,17.238487
242,Naive OCR,SynthCodeNet,-1.7247115,18.295624
243,Naive OCR,SynthCodeNet,-0.009917033,17.808311
244,Naive OCR,SynthCodeNet,-1.387855,17.145159
245,Naive OCR,SynthCodeNet,-1.701879,17.920927
246,Naive OCR,SynthCodeNet,-3.6778998,16.088854
247,Naive OCR,SynthCodeNet,-0.24548063,17.196598
248,Naive OCR,SynthCodeNet,0.11758641,17.863241
249,Naive OCR,SynthCodeNet,-1.2178589,18.26013
250,Naive OCR,SynthCodeNet,0.0003795521,17.943213
251,Naive OCR,SynthCodeNet,-0.42465442,18.043238
252,Naive OCR,SynthCodeNet,-0.07526772,18.020924
253,Naive OCR,SynthCodeNet,-0.14518633,17.87866
254,Naive OCR,SynthCodeNet,-0.49168557,16.688969
255,Naive OCR,SynthCodeNet,-0.31747556,18.093529
256,Naive OCR,SynthCodeNet,0.80161583,15.814559
257,Naive OCR,SynthCodeNet,-4.310662,16.584866
258,Naive OCR,SynthCodeNet,-0.00977412,16.915396
259,Naive OCR,SynthCodeNet,-4.188083,16.494669
260,Naive OCR,SynthCodeNet,-0.25779262,18.010223
261,Naive OCR,SynthCodeNet,-3.9593086,15.766136
262,Naive OCR,SynthCodeNet,-1.3795527,18.213293
263,Naive OCR,SynthCodeNet,-0.45508116,17.52061
264,Naive OCR,SynthCodeNet,-0.2640966,17.886843
265,Naive OCR,SynthCodeNet,-6.582913,14.3813305
266,Naive OCR,SynthCodeNet,-4.188884,16.041538
267,Naive OCR,SynthCodeNet,-0.32475826,17.145645
268,Naive OCR,SynthCodeNet,-3.9861093,15.823854
269,Naive OCR,SynthCodeNet,-0.9563473,18.1237
270,Naive OCR,SynthCodeNet,-1.520535,18.000816
271,Naive OCR,SynthCodeNet,-0.42804614,17.700657
272,Naive OCR,SynthCodeNet,-1.2626554,18.494741
273,Naive OCR,SynthCodeNet,-0.11364583,17.126024
274,Naive OCR,SynthCodeNet,-0.34699938,17.888674
275,Naive OCR,SynthCodeNet,-0.015610901,17.330435
276,Naive OCR,SynthCodeNet,-3.8931282,15.892088
277,Naive OCR,SynthCodeNet,-0.08240982,17.493
278,Naive OCR,SynthFormulaNet,0.22886933,15.002758
279,Naive OCR,SynthFormulaNet,1.7862303,14.29242
280,Naive OCR,SynthFormulaNet,1.4039996,14.474301
281,Naive OCR,SynthFormulaNet,1.7801038,14.159131
282,Naive OCR,SynthFormulaNet,2.364047,14.913048
283,Naive OCR,SynthFormulaNet,2.067444,13.650322
284,Naive OCR,SynthFormulaNet,-3.9578013,12.279434
285,Naive OCR,SynthFormulaNet,1.2084179,14.285225
286,Naive OCR,SynthFormulaNet,1.4971747,13.390962
287,Naive OCR,SynthFormulaNet,1.684946,14.628642
288,Naive OCR,SynthFormulaNet,1.3491838,13.396536
289,Naive OCR,SynthFormulaNet,1.8627237,13.770465
290,Naive OCR,SynthFormulaNet,1.0238231,14.866128
291,Naive OCR,SynthFormulaNet,1.364893,14.193316
292,Naive OCR,SynthFormulaNet,1.4466103,13.644283
293,Naive OCR,SynthFormulaNet,1.0992525,14.317199
294,Naive OCR,SynthFormulaNet,1.5460949,15.546643
295,Naive OCR,SynthFormulaNet,1.2137767,13.969349
296,Naive OCR,SynthFormulaNet,1.4102746,13.717272
297,Naive OCR,SynthFormulaNet,0.91062367,13.0298605
298,Naive OCR,SynthFormulaNet,1.1339371,13.871966
299,Naive OCR,SynthFormulaNet,1.6997597,15.142788
300,Naive OCR,SynthFormulaNet,0.96059656,12.709436
301,Naive OCR,SynthFormulaNet,1.6072994,13.246107
302,Naive OCR,SynthFormulaNet,1.1215231,13.370174
303,Naive OCR,SynthFormulaNet,1.492844,13.373532
304,Naive OCR,SynthFormulaNet,1.7269921,13.755263
305,Naive OCR,SynthFormulaNet,2.179824,14.5509815
306,Naive OCR,SynthFormulaNet,1.3578401,14.855309
307,Naive OCR,SynthFormulaNet,1.2492148,14.366605
308,Naive OCR,SynthFormulaNet,1.9348897,13.490846
309,Naive OCR,SynthFormulaNet,1.407853,14.599283
310,Naive OCR,SynthFormulaNet,1.3527994,14.69017
311,Naive OCR,SynthFormulaNet,1.0525184,12.86483
312,Naive OCR,SynthFormulaNet,1.9524969,13.247496
313,Naive OCR,SynthFormulaNet,1.1278163,14.295946
314,Naive OCR,SynthFormulaNet,2.24632,13.667028
315,Naive OCR,SynthFormulaNet,1.5239518,14.299738
316,Naive OCR,SynthFormulaNet,1.7567451,13.165833
317,Naive OCR,SynthFormulaNet,1.140315,13.921025
318,Naive OCR,SynthFormulaNet,1.6855685,15.429556
319,Naive OCR,SynthFormulaNet,1.1004134,13.143863
320,Naive OCR,SynthFormulaNet,1.4039396,14.001242
321,Naive OCR,SynthFormulaNet,1.4621967,14.645452
322,Naive OCR,SynthFormulaNet,1.2914104,14.500753
323,Naive OCR,SynthFormulaNet,1.8754648,14.831985
324,Naive OCR,SynthFormulaNet,1.6577595,15.188357
325,Naive OCR,SynthFormulaNet,1.6267941,13.784543
326,Naive OCR,SynthFormulaNet,1.6241556,13.506343
327,Chart & Table,Unichart,-5.478337,15.044097
328,Chart & Table,Unichart,-5.5799456,13.085751
329,Chart & Table,Unichart,-5.949499,14.996578
330,Chart & Table,Unichart,-5.516415,13.015133
331,Chart & Table,Unichart,-6.098518,13.201147
332,Chart & Table,Unichart,-6.9667177,14.026482
333,Chart & Table,Unichart,-6.322132,13.28759
334,Chart & Table,Unichart,-6.565431,15.262299
335,Chart & Table,Unichart,-7.018406,14.05617
336,Chart & Table,Unichart,-6.7399693,13.898848
337,Chart & Table,Unichart,-5.7210565,13.72224
338,Chart & Table,Unichart,-5.632763,14.958898
339,Chart & Table,Unichart,-6.947203,14.937348
340,Chart & Table,Unichart,-5.8241777,13.499949
341,Chart & Table,Unichart,-6.3517947,16.035973
342,Chart & Table,Unichart,-5.290241,17.525455
343,Chart & Table,Unichart,-5.9058266,14.941877
344,Chart & Table,Unichart,-4.604956,17.870945
345,Chart & Table,Unichart,-5.79115,12.908007
346,Chart & Table,Unichart,-6.2544575,14.887673
347,Chart & Table,Unichart,-5.753358,15.010925
348,Chart & Table,Unichart,-5.786733,13.154917
349,Chart & Table,Unichart,-5.8034973,12.8242655
350,Chart & Table,Unichart,-6.31294,16.048944
351,Chart & Table,Unichart,-7.2014155,15.414163
352,Chart & Table,Unichart,-6.2808485,16.195747
353,Chart & Table,Unichart,-5.985574,15.921576
354,Chart & Table,Unichart,-7.360994,15.127242
355,Chart & Table,Unichart,-5.8023033,14.888992
356,Chart & Table,Unichart,-5.602459,14.954068
357,Chart & Table,Unichart,-6.262162,14.695169
358,Chart & Table,Unichart,-7.0918374,14.893238
359,Chart & Table,Unichart,-6.868848,14.455841
360,Chart & Table,Unichart,-5.7695827,15.218684
361,Chart & Table,Unichart,-5.7917295,14.848716
362,Chart & Table,Unichart,-5.606748,15.595446
363,Chart & Table,Unichart,-7.3670974,14.436186
364,Chart & Table,Unichart,-6.102013,13.038253
365,Chart & Table,Unichart,-5.6951466,14.418335
366,Chart & Table,Unichart,-6.119423,13.288748
367,Chart & Table,Unichart,-6.938326,13.939838
368,Chart & Table,Unichart,-6.1431007,16.141819
369,Chart & Table,Unichart,-5.6071377,15.208249
370,Chart & Table,Unichart,-5.768991,15.128817
371,Chart & Table,Unichart,-5.259301,17.546667
372,Chart & Table,Unichart,-4.77272,17.328728
373,Chart & Table,Unichart,-5.8661036,13.971627
374,Chart & Table,Unichart,-6.908078,14.750717
375,Chart & Table,Unichart,-6.353714,15.989009
376,Chart & Table,Unichart,-5.8717313,14.890253
377,Chart & Table,Unichart,-7.229736,15.591386
378,Chart & Table,Unichart,-6.3437076,13.1844015
379,Chart & Table,Unichart,-5.798029,14.378434
380,Chart & Table,Unichart,-5.3162193,14.234495
381,Chart & Table,Unichart,-6.373933,13.344297
382,Chart & Table,Unichart,-7.078772,14.764631
383,Chart & Table,Unichart,-5.9133935,12.824556
384,Chart & Table,Unichart,-6.828757,14.082631
385,Chart & Table,Unichart,-6.7189755,14.999983
386,Chart & Table,Unichart,-6.0642824,16.449152
387,Chart & Table,Unichart,-6.6790447,13.80666
388,OCR QA,a_okvqa,-0.5733542,12.801027
389,OCR QA,a_okvqa,-1.7158192,10.843025
390,OCR QA,a_okvqa,-3.2833407,12.822911
391,OCR QA,a_okvqa,-0.80873895,14.536217
392,OCR QA,a_okvqa,-3.208334,14.578856
393,Grounding & Counting,aguvis-stage-1,-3.92464,17.013128
394,Grounding & Counting,aguvis-stage-1,-3.1343591,16.968803
395,Grounding & Counting,aguvis-stage-1,-3.9606252,16.346624
396,Grounding & Counting,aguvis-stage-1,-3.0290737,16.770638
397,Grounding & Counting,aguvis-stage-1,-1.1558208,17.359201
398,Grounding & Counting,aguvis-stage-1,-6.418879,16.79059
399,Grounding & Counting,aguvis-stage-1,-2.3867943,15.352943
400,Grounding & Counting,aguvis-stage-1,-2.6866517,16.432796
401,Grounding & Counting,aguvis-stage-1,-2.380073,17.779228
402,Grounding & Counting,aguvis-stage-1,-3.8589,17.059746
403,Grounding & Counting,aguvis-stage-1,-3.3082666,17.71559
404,Grounding & Counting,aguvis-stage-1,-2.5477545,16.541817
405,Grounding & Counting,aguvis-stage-1,-2.3461995,16.683966
406,Grounding & Counting,aguvis-stage-1,-2.909816,17.15795
407,Grounding & Counting,aguvis-stage-1,-3.8193007,16.196898
408,Grounding & Counting,aguvis-stage-1,-1.8479805,18.61108
409,Grounding & Counting,aguvis-stage-1,-3.0331044,17.226364
410,Grounding & Counting,aguvis-stage-1,-2.9594963,15.341776
411,Grounding & Counting,aguvis-stage-1,-2.7642896,17.29218
412,Grounding & Counting,aguvis-stage-1,-4.397569,16.361464
413,Grounding & Counting,aguvis-stage-1,-2.588429,15.981421
414,Grounding & Counting,aguvis-stage-1,-2.4921746,16.337145
415,Grounding & Counting,aguvis-stage-1,-1.634949,18.328835
416,Grounding & Counting,aguvis-stage-1,-3.5193944,17.553333
417,Grounding & Counting,aguvis-stage-1,1.3164409,12.131497
418,Grounding & Counting,aguvis-stage-1,-3.9198072,16.698154
419,Grounding & Counting,aguvis-stage-1,-2.6971705,17.27412
420,Grounding & Counting,aguvis-stage-1,-2.6077929,16.321354
421,Grounding & Counting,aguvis-stage-1,-3.6373217,16.949177
422,Grounding & Counting,aguvis-stage-1,-3.1801188,17.075556
423,Grounding & Counting,aguvis-stage-1,-2.3237062,17.239109
424,Grounding & Counting,aguvis-stage-1,-3.7926881,16.6358
425,Grounding & Counting,aguvis-stage-1,-2.97919,15.463035
426,Grounding & Counting,aguvis-stage-1,-3.2354767,16.985542
427,Grounding & Counting,aguvis-stage-1,-2.9599688,17.437643
428,Grounding & Counting,aguvis-stage-1,-2.1633608,17.812645
429,Grounding & Counting,aguvis-stage-1,-2.6721504,16.597218
430,Grounding & Counting,aguvis-stage-1,-3.8145788,17.693523
431,Grounding & Counting,aguvis-stage-1,-3.021984,15.80835
432,Grounding & Counting,aguvis-stage-1,-2.8769467,16.994005
433,Grounding & Counting,aguvis-stage-1,-3.156238,17.429504
434,Grounding & Counting,aguvis-stage-1,-4.332312,17.716543
435,Grounding & Counting,aguvis-stage-1,-3.4098995,16.634125
436,Grounding & Counting,aguvis-stage-1,-3.658236,18.488964
437,Grounding & Counting,aguvis-stage-1,-3.019246,18.18975
438,Science,ai2d_merged,-5.1963496,16.62253
439,General VQA,alfworldgpt,-3.1402702,15.006798
440,General VQA,alfworldgpt,-3.655326,14.881633
441,General VQA,alfworldgpt,-2.9178991,13.226537
442,General VQA,alfworldgpt,-3.446364,14.249417
443,General VQA,allava_laion,-2.8572686,13.270778
444,General VQA,allava_laion,-1.558349,13.590846
445,General VQA,allava_laion,-4.4869156,13.266971
446,General VQA,allava_laion,-0.56136036,14.288783
447,General VQA,allava_laion,-1.9938369,16.406837
448,General VQA,allava_laion,-2.9673812,14.970761
449,General VQA,allava_laion,-2.055943,12.913793
450,General VQA,allava_laion,-2.1113553,16.12969
451,General VQA,allava_laion,-4.0677795,14.782865
452,General VQA,allava_laion,-5.437868,14.414292
453,General VQA,allava_laion,-1.4492984,16.317406
454,General VQA,allava_laion,-3.0221918,16.395374
455,General VQA,allava_laion,-1.9317902,13.783306
456,General VQA,allava_laion,-2.6455994,16.673138
457,General VQA,allava_laion,-2.9869754,15.000495
458,General VQA,allava_laion,-2.3168645,14.673664
459,General VQA,allava_laion,-1.2214115,13.521346
460,General VQA,allava_laion,-4.027829,14.150317
461,General VQA,allava_laion,-4.99002,17.623316
462,General VQA,allava_laion,-1.7191764,13.515034
463,General VQA,allava_laion,-2.7818463,15.766099
464,General VQA,allava_laion,-1.2120026,13.573033
465,General VQA,allava_laion,-2.9067914,14.31069
466,General VQA,allava_laion,-1.7481589,15.501534
467,General VQA,allava_laion,-1.4285904,13.622949
468,General VQA,allava_laion,-2.508318,14.214216
469,General VQA,allava_laion,-2.8544402,15.464485
470,General VQA,allava_laion,-1.517965,12.944219
471,General VQA,allava_laion,0.66665745,13.841945
472,General VQA,allava_laion,-3.3896854,15.587829
473,General VQA,allava_laion,-2.0731955,14.096371
474,General VQA,allava_laion,-2.163503,13.447432
475,General VQA,allava_laion,-1.7301064,14.63413
476,General VQA,allava_laion,-2.063952,13.306315
477,General VQA,allava_laion,-1.9544251,13.65066
